date,unknown_share
2024-01-01,0.1253889793854968
2024-01-02,0.1296487682196077
2024-01-03,0.10711635194194773
2024-01-04,0.11359769179551675
2024-01-05,0.12403771526860068
2024-01-06,0.14539875970336963
2024-01-07,0.1420249952485399
2024-01-08,0.12862936604209727
2024-01-09,0.13071598400874646
2024-01-10,0.1252394998564306
2024-01-11,0.1062010527667223
2024-01-12,0.11213915618060696
2024-01-13,0.0953737611288426
2024-01-14,0.09572948958918154
2024-01-15,0.08769895407003184
2024-01-16,0.11340445269016698
2024-01-17,0.11129445404181808
2024-01-18,0.10369089564574362
2024-01-19,0.1055675012451863
2024-01-20,0.12241418916468184
2024-01-21,0.11481088044841732
2024-01-22,0.09618728780476264
2024-01-23,0.10527007577500148
2024-01-24,0.10788303724685061
2024-01-25,0.13379935197407897
2024-01-26,0.12044893572204009
2024-01-27,0.12639476312937026
2024-01-28,0.1223789233631399
2024-01-29,0.13654540579701877
2024-01-30,0.1372609317894189
2024-01-31,0.1214044856921887
2024-02-01,0.12226507476641263
2024-02-02,0.1222254752068356
2024-02-03,0.12523405720680972
2024-02-04,0.12671926615523219
2024-02-05,0.13061767153973777
2024-02-06,0.13462678463592595
2024-02-07,0.14215306083158688
2024-02-08,0.13748486938238144
2024-02-09,0.13612099644128114
2024-02-10,0.1638338679276479
2024-02-11,0.14637011058817692
2024-02-12,0.14871335821056492
2024-02-13,0.13751569649120274
2024-02-14,0.13400252317481212
2024-02-15,0.13620882120478786
2024-02-16,0.13302638545415552
2024-02-17,0.12992530326215626
2024-02-18,0.1350007137329737
2024-02-19,0.11938973240712164
2024-02-20,0.13540294947405038
2024-02-21,0.14141692837454387
2024-02-22,0.14425613963872538
2024-02-23,0.13297461435036312
2024-02-24,0.11670266602437597
2024-02-25,0.11492022879375786
2024-02-26,0.1185171869789092
2024-02-27,0.13332137129287505
2024-02-28,0.11796405572171477
2024-02-29,0.13540058462089125
