model,accuracy,macro_f1,weighted_f1,mcc,balanced_accuracy,test_rows,best_policy,best_policy_net_pnl,best_policy_n_trades,rsep_vs_cost_aware_mean_diff,rsep_vs_cost_aware_ci_low,rsep_vs_cost_aware_ci_high,best_validation_policy,best_validation_net_pnl,best_validation_n_trades
sgd,0.698514962267863,0.4557311596626776,0.654068128947458,0.2502946884911606,0.4412694795952129,13906448,RSEP-full,-1898.1913419360656,16693,23.589682784067765,11.335093741216042,39.21761024140085,cost_aware_threshold,-816.9212600225644,8031
xgboost_gpu,0.7033018783804462,0.4440313687082955,0.6498561684389089,0.2449066693723405,0.4310981610105877,13906448,cost_aware_threshold,-1045.748054131462,9982,-0.0489206822916421,-2.878574437491309,2.472508278810918,RSEP-full,-1190.9531978562732,11888
sgd_stage3,0.5589236233088135,0.4651938936393822,0.5352928708538465,0.2363343627718826,0.4637370420120062,33550262,RSEP-full,-4437.492424989721,33713,68.52514254066054,59.67645950648641,77.22922570561714,RSEP-full,-717.5373259006718,5868
