model,scope,n_rows,accuracy,macro_f1,mcc,balanced_accuracy,paper_role,claim_boundary
tcn_gpu_stage3_pilot,temporal_pilot_sample,500000,0.564524,0.472576,0.238845,0.474145,main temporal pilot,not full-row execution-ready; do not use for profitability or main execution claims
deeplob_faithful_lite_stage3_pilot,temporal_pilot_sample,500000,0.519808,0.433699,0.160558,0.442089,smoke/pilot deep LOB coverage,not full-row execution-ready; do not use for profitability or main execution claims
deeplob_stage3_pilot,temporal_pilot_sample,10000,0.5791,0.244485,0.0,0.333333,smoke/pilot deep LOB coverage,not full-row execution-ready; do not use for profitability or main execution claims
lob_transformer_stage3_pilot,temporal_pilot_sample,10000,0.5788,0.244405,-0.01024,0.333161,smoke/pilot deep LOB coverage,not full-row execution-ready; do not use for profitability or main execution claims
