symbol,setting,regime,n_rows,share,unknown_share,agreement_with_baseline,sample_rows,train_fraction_for_thresholds
ETH-USDT,strict_extremes,CALM_LIQUID,49440,0.04944,0.157811,0.857456,1000000,0.6
ETH-USDT,strict_extremes,VOLATILE_ILLIQUID,22853,0.022853,0.157811,0.857456,1000000,0.6
ETH-USDT,strict_extremes,LIQUIDITY_DROUGHT,9896,0.009896,0.157811,0.857456,1000000,0.6
ETH-USDT,strict_extremes,VOLATILE_LIQUID,3567,0.003567,0.157811,0.857456,1000000,0.6
ETH-USDT,relaxed_extremes,MOMENTUM_TOXIC,207367,0.207367,0.101795,0.863134,1000000,0.6
ETH-USDT,relaxed_extremes,BALANCED_TRANSITION,193845,0.193845,0.101795,0.863134,1000000,0.6
ETH-USDT,relaxed_extremes,CHOPPY_MEAN_REVERTING,145288,0.145288,0.101795,0.863134,1000000,0.6
ETH-USDT,relaxed_extremes,MILD_LIQUIDITY_STRESS,126709,0.126709,0.101795,0.863134,1000000,0.6
ETH-USDT,relaxed_extremes,UNKNOWN,101795,0.101795,0.101795,0.863134,1000000,0.6
ETH-USDT,relaxed_extremes,SHOCK_RECOVERY,80675,0.080675,0.101795,0.863134,1000000,0.6
ETH-USDT,relaxed_extremes,LIQUIDITY_DROUGHT,44675,0.044675,0.101795,0.863134,1000000,0.6
ETH-USDT,relaxed_extremes,CALM_ILLIQUID,36649,0.036649,0.101795,0.863134,1000000,0.6
ETH-USDT,relaxed_extremes,CALM_LIQUID,29845,0.029845,0.101795,0.863134,1000000,0.6
ETH-USDT,relaxed_extremes,VOLATILE_ILLIQUID,27530,0.02753,0.101795,0.863134,1000000,0.6
ETH-USDT,relaxed_extremes,VOLATILE_LIQUID,5622,0.005622,0.101795,0.863134,1000000,0.6
