direction,source_symbol,target_symbol,feature,source_train_mean,target_test_mean,target_source_mean_ratio,source_train_median,target_test_median,target_source_median_ratio,stat_scope
btc_to_eth,BTC-USDT,ETH-USDT,mid_price,62204.16796875,3425.974365234375,0.05507628310301504,63684.0078125,3402.72509765625,0.05343139061967701,source_train_vs_target_test_deterministic_sample
btc_to_eth,BTC-USDT,ETH-USDT,spread,0.03277149051427841,0.010715099982917309,0.32696407196519733,0.01171875,0.010009765625,0.8541666666666666,source_train_vs_target_test_deterministic_sample
btc_to_eth,BTC-USDT,ETH-USDT,rel_spread,5.354572181204276e-07,3.1610843507223763e-06,5.903523649972404,1.805844647151389e-07,2.940325657618814e-06,16.282273573515866,source_train_vs_target_test_deterministic_sample
btc_to_eth,BTC-USDT,ETH-USDT,top_of_book_depth,8.2979736328125,48.348426818847656,5.826534158612472,7.737539768218994,42.7887020111084,5.530013840685873,source_train_vs_target_test_deterministic_sample
btc_to_eth,BTC-USDT,ETH-USDT,total_depth_10,10.591014862060547,79.96269989013672,7.5500507677107995,9.837030410766602,71.6176986694336,7.280418548980821,source_train_vs_target_test_deterministic_sample
btc_to_eth,BTC-USDT,ETH-USDT,realized_vol_20,1.5257688573910855e-05,3.135458973702043e-05,2.0550026031225785,5.0503910387078577e-08,2.578517160145566e-05,510.5579232148486,source_train_vs_target_test_deterministic_sample
btc_to_eth,BTC-USDT,ETH-USDT,realized_vol_100,1.9919867554563098e-05,3.6814381019212306e-05,1.848123784878235,1.4372246823768364e-05,3.096948603342753e-05,2.1548117293818794,source_train_vs_target_test_deterministic_sample
btc_to_eth,BTC-USDT,ETH-USDT,vol_score,0.019837886095046997,0.009853056631982327,0.49667875824946783,-0.13861893862485886,-0.09478697553277016,0.683795276988016,source_train_vs_target_test_deterministic_sample
btc_to_eth,BTC-USDT,ETH-USDT,abs_future_ret_h,0.00016293604858219624,0.0002821296511683613,1.7315361064868071,8.24594171717763e-05,0.00019628409063443542,2.380372034713075,source_train_vs_target_test_deterministic_sample
eth_to_btc,ETH-USDT,BTC-USDT,mid_price,3108.395751953125,91207.8515625,29.34241931877258,3154.205078125,95305.2265625,30.215291714371872,source_train_vs_target_test_deterministic_sample
eth_to_btc,ETH-USDT,BTC-USDT,spread,0.010992186143994331,0.01900925114750862,1.729342179844223,0.010009765625,0.0078125,0.7804878048780488,source_train_vs_target_test_deterministic_sample
eth_to_btc,ETH-USDT,BTC-USDT,rel_spread,3.623520115070278e-06,2.0894304952889797e-07,0.05766300252064298,3.1754805149830645e-06,8.552851582521726e-08,0.02693403893415904,source_train_vs_target_test_deterministic_sample
eth_to_btc,ETH-USDT,BTC-USDT,top_of_book_depth,67.03739929199219,5.5916900634765625,0.08341150048379795,59.00879669189453,5.0622398853302,0.08578788535143186,source_train_vs_target_test_deterministic_sample
eth_to_btc,ETH-USDT,BTC-USDT,total_depth_10,109.30213928222656,7.107065200805664,0.06502219670609258,98.11048889160156,6.407185077667236,0.0653058113363015,source_train_vs_target_test_deterministic_sample
eth_to_btc,ETH-USDT,BTC-USDT,realized_vol_20,2.9035994884907268e-05,1.4926121366443112e-05,0.5140557926672462,1.8776883734972216e-05,5.425132940217736e-06,0.28892616137966215,source_train_vs_target_test_deterministic_sample
eth_to_btc,ETH-USDT,BTC-USDT,realized_vol_100,3.548134918673895e-05,1.9542310838005506e-05,0.550776993714472,2.6542891646386124e-05,1.5113288554857718e-05,0.5693911860170452,source_train_vs_target_test_deterministic_sample
eth_to_btc,ETH-USDT,BTC-USDT,vol_score,0.0005745278322137892,0.021572863683104515,37.54885746784322,-0.1489163637161255,-0.1310451552271843,0.8799916406567078,source_train_vs_target_test_deterministic_sample
eth_to_btc,ETH-USDT,BTC-USDT,abs_future_ret_h,0.0002620273735374212,0.00015605280350428075,0.5955591639054237,0.00016202717961277813,8.889219679986127e-05,0.5486252183880566,source_train_vs_target_test_deterministic_sample
