signal_index,entry_index,exit_index,event_time,regime,action,quantity,entry_price,exit_price,gross_pnl,net_pnl,total_cost,fill_ratio,entry_slippage,exit_slippage
15564043,15564044,15564094,2024-12-13 16:54:06.515000064+00:00,CHOPPY_MEAN_REVERTING,1,0.2543115303829636,3932.18994140625,3920.550048828125,-2.9601588950362685,-3.159863127497869,0.19970423246160027,1.0,0.0,0.0
1198841,1198842,1198892,2024-11-07 01:28:31.615000064+00:00,BALANCED_TRANSITION,-1,0.3540318051248524,2816.5584521556625,2824.610107421875,-2.8505420481402326,-3.0502573569563127,0.1997153088160799,1.0,0.03163573496249228,0.0
17965161,17965162,17965212,2024-12-19 21:26:23.214999808+00:00,MILD_LIQUIDITY_STRESS,-1,0.290851127254043,3428.64990234375,3438.18994140625,-2.7747311153757286,-2.974453926298495,0.1997228109227664,1.0,0.0,0.0
12223207,12223208,12223258,2024-12-05 02:57:17.315000064+00:00,BALANCED_TRANSITION,-1,0.25957272656180586,3843.5,3852.499949868788,-2.33614152636087,-2.535908695421566,0.19976716906069625,1.0,0.0,0.009959634413007734
11739990,11739991,11740041,2024-12-04 01:55:56.915000064+00:00,BALANCED_TRANSITION,-1,0.27031446891192223,3691.030029296875,3699.39990234375,-2.262497787526228,-2.462271801726449,0.19977401420022095,1.0,0.0,0.0
5697192,5697193,5697243,2024-11-18 20:35:33.515000064+00:00,SHOCK_RECOVERY,-1,0.313921979964788,3178.5116481279724,3185.510009765625,-2.196939541801514,-2.396720169739989,0.19978062793847506,1.0,0.05842023140257879,0.0
12572631,12572632,12572682,2024-12-05 20:32:02.315000064+00:00,CALM_LIQUID,-1,0.2634501055344075,3787.610107421875,3795.7900390625,-2.155003853986895,-2.35478861087699,0.199784756890095,1.0,0.0,0.0
4288807,4288808,4288858,2024-11-14 21:42:29.214999808+00:00,SHOCK_RECOVERY,-1,0.3214167951889179,3104.889892578125,3111.319334961176,-2.066530765612078,-2.266330170426024,0.1997994048139461,1.0,0.0,0.08935449242608229
5697167,5697168,5697218,2024-11-18 20:35:29.815000064+00:00,CHOPPY_MEAN_REVERTING,-1,0.31418430130888136,3176.56005859375,3182.85009765625,-1.9762315280571336,-2.1760342117249345,0.19980268366780102,1.0,0.0,0.0
14925089,14925090,14925140,2024-12-12 03:00:00.315000064+00:00,BALANCED_TRANSITION,1,0.25765394508699974,3881.179931640625,3873.60009765625,-1.9529741291787306,-2.1527790959617525,0.19980496678302193,1.0,0.0,0.0
7956395,7956396,7956446,2024-11-24 14:32:03.015000064+00:00,BALANCED_TRANSITION,1,0.30271063479513893,3303.489990234375,3297.14990234375,-1.919212030028067,-2.1190204192217115,0.1998083891936442,1.0,0.0,0.0
12920433,12920434,12920484,2024-12-06 15:08:57.214999808+00:00,CALM_LIQUID,-1,0.24953805607661111,3999.929931640625,4007.409912109375,-1.8665397856628934,-2.06635338755831,0.199813601895417,1.0,0.0,0.0
1203998,1203999,1204049,2024-11-07 01:45:57.615000064+00:00,MILD_LIQUIDITY_STRESS,-1,0.35583577622933615,2805.300048828125,2810.4691756453412,-1.839360253432018,-2.0391894135435513,0.1998291601115333,1.0,0.0,0.17913658284123812
4327568,4327569,4327619,2024-11-15 01:03:21.415000064+00:00,MILD_LIQUIDITY_STRESS,-1,0.3262115781536361,3059.889892578125,3065.5,-1.8300819957012706,-2.0298993060676946,0.19981731036642417,1.0,0.0,0.0
17084148,17084149,17084199,2024-12-17 15:36:08.714999808+00:00,CHOPPY_MEAN_REVERTING,-1,0.25357572101618986,3936.43994140625,3943.60009765625,-1.8156417836823282,-2.0154604671365,0.19981868345417184,1.0,0.0,0.0
873289,873290,873340,2024-11-06 08:14:07.315000064+00:00,BALANCED_TRANSITION,-1,0.3846694209598253,2594.989990234375,2599.639892578125,-1.7886752420900471,-1.9884967690022561,0.19982152691220895,1.0,0.0,0.0
12564533,12564534,12564584,2024-12-05 20:05:08.815000064+00:00,CALM_LIQUID,-1,0.26197248137699286,3810.39990234375,3817.199951171875,-1.7814256649886187,-1.9812477910462463,0.19982212605762756,1.0,0.0,0.0
1885359,1885360,1885410,2024-11-08 16:10:40.015000064+00:00,CHOPPY_MEAN_REVERTING,1,0.3410658808384425,2931.989990234375,2926.85009765625,-1.7530419895731764,-1.9528670350999757,0.19982504552679942,1.0,0.0,0.0
18767395,18767396,18767446,2024-12-21 13:26:14.214999808+00:00,UNKNOWN,-1,0.29656737741471445,3366.020016622067,3371.9298472604287,-1.7526629733840435,-1.95248858541239,0.1998256120283464,1.0,2.909182967414381e-06,0.00992538542868715
15292636,15292637,15292687,2024-12-12 21:35:48.615000064+00:00,SHOCK_RECOVERY,1,0.2571027780909265,3889.5,3882.699951171875,-1.7483114448648869,-1.948136864797332,0.19982541993244526,1.0,0.0,0.0
1885356,1885357,1885407,2024-11-08 16:10:39.415000064+00:00,BALANCED_TRANSITION,1,0.34112984937817925,2931.559271019518,2926.489990234375,-1.7292829906914742,-1.9291185369056236,0.19983554621414945,1.0,0.11932961326783698,0.0
13003006,13003007,13003057,2024-12-06 19:33:07.815000064+00:00,BALANCED_TRANSITION,1,0.24562510269360066,4071.25,4064.2099609375,-1.7292103176935225,-1.9290376365300175,0.199827318836495,1.0,0.0,0.0
565832,565833,565883,2024-11-05 14:34:49.315000064+00:00,CHOPPY_MEAN_REVERTING,-1,0.40480996465028607,2466.050048828125,2470.300048828125,-1.7204423497637158,-1.9202707206170821,0.19982837085336627,1.0,0.0,0.0
