model,regime,accuracy,macro_f1,weighted_f1,mcc,balanced_accuracy,n_rows
sgd_eth_stage3_purged,BALANCED_TRANSITION,0.4352173204705394,0.434353978737225,0.4351534548601232,0.15201653539976587,0.4345659405352536,3891534
sgd_eth_stage3_purged,CALM_ILLIQUID,0.4501543750198937,0.4318493233682387,0.43906268595906717,0.16363892641650035,0.43677955989775175,188502
sgd_eth_stage3_purged,CALM_LIQUID,0.4508561155338813,0.44441123350487777,0.4490489787607879,0.16798281600364445,0.4443837248604822,743124
sgd_eth_stage3_purged,CHOPPY_MEAN_REVERTING,0.44186092288199824,0.3297011880128901,0.3894848399303961,0.08456472532931616,0.37399053720436787,4419850
sgd_eth_stage3_purged,LIQUIDITY_DROUGHT,0.4339718486228507,0.4329331773825606,0.4330605493370966,0.15122505340297024,0.43389987795533463,677196
sgd_eth_stage3_purged,MILD_LIQUIDITY_STRESS,0.43674121169261393,0.4356103563146112,0.43613107643724497,0.15453121539041825,0.43597565237180075,3512508
sgd_eth_stage3_purged,MOMENTUM_TOXIC,0.4330503334248254,0.42174480742872805,0.42660312710960446,0.1402245450747539,0.42450581015929245,3836397
sgd_eth_stage3_purged,SHOCK_RECOVERY,0.42825097778573074,0.40592235287184253,0.41037097396457856,0.13853179570659516,0.4204360070593626,2190664
sgd_eth_stage3_purged,UNKNOWN,0.43396117992394134,0.4316220908633179,0.4324046097731141,0.14921595066281781,0.4322202179479224,3202003
sgd_eth_stage3_purged,VOLATILE_ILLIQUID,0.42811478847051565,0.4096527458509102,0.4142518297713734,0.13649604357764172,0.4199563314173773,126389
sgd_eth_stage3_purged,VOLATILE_LIQUID,0.4300675675675676,0.423495777098473,0.41620917955220876,0.16943343150110748,0.4471593419222084,94720
