symbol,month,regime,n_rows
BTC-USDT,2024-09,MOMENTUM_TOXIC,3024258
BTC-USDT,2024-09,SHOCK_RECOVERY,1156610
BTC-USDT,2024-09,UNKNOWN,2304413
BTC-USDT,2024-09,VOLATILE_ILLIQUID,475836
BTC-USDT,2024-09,VOLATILE_LIQUID,2780
BTC-USDT,2024-10,BALANCED_TRANSITION,4017431
BTC-USDT,2024-10,CALM_ILLIQUID,494935
BTC-USDT,2024-10,CALM_LIQUID,801845
BTC-USDT,2024-10,CHOPPY_MEAN_REVERTING,1165621
BTC-USDT,2024-10,LIQUIDITY_DROUGHT,796304
BTC-USDT,2024-10,MILD_LIQUIDITY_STRESS,3263781
BTC-USDT,2024-10,MOMENTUM_TOXIC,2878626
BTC-USDT,2024-10,SHOCK_RECOVERY,1373409
BTC-USDT,2024-10,UNKNOWN,2262911
BTC-USDT,2024-10,VOLATILE_ILLIQUID,218721
BTC-USDT,2024-10,VOLATILE_LIQUID,6798
BTC-USDT,2024-11,BALANCED_TRANSITION,3280875
BTC-USDT,2024-11,CALM_ILLIQUID,202004
BTC-USDT,2024-11,CALM_LIQUID,449849
BTC-USDT,2024-11,CHOPPY_MEAN_REVERTING,2328903
BTC-USDT,2024-11,LIQUIDITY_DROUGHT,359041
BTC-USDT,2024-11,MILD_LIQUIDITY_STRESS,2436896
BTC-USDT,2024-11,MOMENTUM_TOXIC,2890455
BTC-USDT,2024-11,SHOCK_RECOVERY,1551953
BTC-USDT,2024-11,UNKNOWN,2256218
BTC-USDT,2024-11,VOLATILE_ILLIQUID,109576
BTC-USDT,2024-11,VOLATILE_LIQUID,2215
BTC-USDT,2024-12,BALANCED_TRANSITION,3630094
BTC-USDT,2024-12,CALM_ILLIQUID,4394
BTC-USDT,2024-12,CALM_LIQUID,286273
BTC-USDT,2024-12,CHOPPY_MEAN_REVERTING,2063290
BTC-USDT,2024-12,LIQUIDITY_DROUGHT,481170
BTC-USDT,2024-12,MILD_LIQUIDITY_STRESS,2704773
BTC-USDT,2024-12,MOMENTUM_TOXIC,2899938
BTC-USDT,2024-12,SHOCK_RECOVERY,1514957
BTC-USDT,2024-12,UNKNOWN,2450103
BTC-USDT,2024-12,VOLATILE_ILLIQUID,8106
BTC-USDT,2024-12,VOLATILE_LIQUID,828
