date,unknown_share
2024-01-01,0.13221928888389597
2024-01-02,0.10935073794820362
2024-01-03,0.11206948682004343
2024-01-04,0.11230764962639639
2024-01-05,0.09284605541921004
2024-01-06,0.11561104124203131
2024-01-07,0.12082064137006426
2024-01-08,0.10137495509660088
2024-01-09,0.09943819854708792
2024-01-10,0.08893797684510661
2024-01-11,0.07045833868275773
2024-01-12,0.08530717986676536
2024-01-13,0.09275995296489165
2024-01-14,0.10593892645299875
2024-01-15,0.09914733969986357
2024-01-16,0.10519370085696617
2024-01-17,0.12211830583189373
2024-01-18,0.12000304493453391
2024-01-19,0.1225627756113561
2024-01-20,0.13648017802288173
2024-01-21,0.1265185503282894
2024-01-22,0.10597044941028948
2024-01-23,0.10910154375957046
2024-01-24,0.11500366949106282
2024-01-25,0.14488179527181086
2024-01-26,0.13449708072957456
2024-01-27,0.14234553994601604
2024-01-28,0.1353597791514133
2024-01-29,0.14646000787235378
2024-01-30,0.1451946853444706
2024-01-31,0.1348430007733952
2024-02-01,0.13576055064494105
2024-02-02,0.13159949253440031
2024-02-03,0.13094828142823323
2024-02-04,0.13588140544377406
2024-02-05,0.13922049482992666
2024-02-06,0.14886509066532225
2024-02-07,0.1548485398548931
2024-02-08,0.1455673921325611
2024-02-09,0.1406294407132066
2024-02-10,0.14973049833008167
2024-02-11,0.14093582246337852
2024-02-12,0.15055218826168545
2024-02-13,0.13405164326025143
2024-02-14,0.13948768580988427
2024-02-15,0.14465032144515877
2024-02-16,0.132858837485172
2024-02-17,0.12474478958287791
2024-02-18,0.12641588343864024
2024-02-19,0.14430180544873092
2024-02-20,0.13964713827833658
2024-02-21,0.13850365309031695
2024-02-22,0.147364014613355
2024-02-23,0.13784752572111336
2024-02-24,0.11967585038770531
2024-02-25,0.1207405136229555
2024-02-26,0.13765903247703948
2024-02-27,0.1396745438918277
2024-02-28,0.12733837444855148
2024-02-29,0.13892024100697967
2024-03-01,0.15512413475317363
2024-03-02,0.1527554563122503
2024-03-03,0.14004049063795376
2024-03-04,0.12860230283642046
2024-03-05,0.11763707729198948
2024-03-06,0.12057077323869214
2024-03-07,0.1246331590675926
2024-03-08,0.11708316837419491
2024-03-09,0.11217463059654677
2024-03-10,0.12076950055949362
2024-03-11,0.11848154744646482
2024-03-12,0.12353326484642281
2024-03-13,0.12041586043355561
2024-03-14,0.11454615489633921
2024-03-15,0.12271469587917697
2024-03-16,0.12215793373869431
2024-03-17,0.13000008585680803
2024-03-18,0.12469322793063509
2024-03-19,0.13000890471950133
2024-03-20,0.12800920200465382
2024-03-21,0.11924505253440322
2024-03-22,0.12857142857142856
2024-03-23,0.1412658540114474
2024-03-24,0.1457414630188373
2024-03-25,0.12144466761954323
2024-03-26,0.12585193510530873
2024-03-27,0.13339064892238842
2024-03-28,0.12908413948686576
2024-03-29,0.12705743935552405
2024-03-30,0.10506993799356411
2024-03-31,0.11303298725525908
2024-04-01,0.12762839912041976
2024-04-02,0.12745143471491066
2024-04-03,0.1273107499760544
2024-04-04,0.12706378967126666
2024-04-05,0.12454647127082556
2024-04-06,0.11827967639928584
2024-04-07,0.11444537410748735
2024-04-08,0.11711970738926937
2024-04-09,0.11813879183879383
2024-04-10,0.12133631997842198
2024-04-11,0.1267450461525639
2024-04-12,0.1224668068244309
2024-04-13,0.122424163605033
2024-04-14,0.1356054328637821
2024-04-15,0.1292812727578287
2024-04-16,0.13783189516923708
2024-04-17,0.12952868076874552
2024-04-18,0.1329284006809345
2024-04-19,0.1336755697552205
2024-04-20,0.14282168973701012
2024-04-21,0.1478831422636693
2024-04-22,0.1243726689061279
2024-04-23,0.1183576234931682
2024-04-24,0.12999216914643696
2024-04-25,0.13557690938277583
2024-04-26,0.13929616014797913
2024-04-27,0.13819365716112902
2024-04-28,0.13505722111664686
2024-04-29,0.1481165765800673
2024-04-30,0.13132513970408882
2024-05-01,0.09628635548588635
2024-05-02,0.09837045097386747
2024-05-03,0.12223817665709401
2024-05-04,0.1450923202412438
2024-05-05,0.14402710502776325
