model,axis,robustness_auc
sgd_eth_stage3,fee_bps,-28456.17192596098
sgd_eth_stage3,latency_events,-5044.736584569225
sgd_eth_stage3,spread_multiplier,-4485.271364120612
sgd_eth_stage3,depth_multiplier,-4349.897485911873
sgd_eth_stage3,latency_half_life,
