model_label,recommended_role,accuracy,macro_f1,mcc,balanced_accuracy,test_rows,best_policy,best_policy_net_pnl,rsep_test_net_pnl,bootstrap_mean_diff_vs_cost_aware,bootstrap_ci_low,bootstrap_ci_high,caveat
sgd_stage3,main tabular baseline,0.5589236233088135,0.4651938936393822,0.2363343627718826,0.4637370420120062,33550262,RSEP-full,-4437.492424989721,-4437.492424989721,68.52514254066054,59.67645950648641,77.22922570561714,"Baseline don gian, de tai lap; dung lam diem neo cho failure-analysis."
xgboost_gpu_stage3,strong GPU tabular baseline / secondary baseline,0.5676637040867222,0.4562407660052441,0.2363690740470592,0.4554957887412827,33550262,RSEP-full,-4303.192190442313,-4303.192190442313,2.9415342854848308,1.0723368611951716,4.927118205265525,Accuracy cao hon SGD nhung macro-F1/balanced accuracy thap hon; execution chi cai thien nhe.
tcn_gpu_stage3,temporal pilot diagnostic / appendix,0.5281819498872293,0.4688776156382125,0.2274774057999311,0.469199602192841,3354594,RSEP-full,-128.4293425721194,-128.4293425721194,1.495077138619905,0.022912905987358,3.5549921488370075,Stride-10 sample-window khong nen so truc tiep voi full-row execution.
tcn_gpu_stage3_stride1,main temporal fairness baseline with negative execution evidence,0.5281071238532205,0.4687752351367104,0.2273893800677564,0.4690906852368227,33543827,cost_aware_threshold,-787.9979672806533,-814.1668892095277,-0.4025987989057581,-4.460466065997088,4.449435357469534,Macro-F1 cao nhat nhung MCC thap hon SGD/XGBoost va RSEP khong thang cost-aware.
