model,axis,robustness_auc
sgd_btc_stage3_purged,fee_bps,-30516.757078900187
sgd_btc_stage3_purged,latency_events,-5179.893510005453
sgd_btc_stage3_purged,spread_multiplier,-4356.427199590036
sgd_btc_stage3_purged,depth_multiplier,-4341.68846578963
sgd_btc_stage3_purged,latency_half_life,
