policy,n_trades,gross_pnl,net_pnl,total_cost,turnover,net_pnl_per_trade,cost_survival,max_drawdown,model,base_policy,threshold
sgd_eth_stage3_naive_threshold_tuned,163049,3879.5981036548856,-28715.99908290644,32595.59718656133,48790.66102963104,-0.17611882981745636,-7.401797380984829,-28718.18468032564,sgd_eth_stage3,naive_threshold,0.6
sgd_eth_stage3_cost_aware_threshold_tuned,39299,1907.6647234407267,-5950.421820099347,7858.086543540074,11608.179598762104,-0.15141407720551026,-3.1192178305666687,-5950.119968895188,sgd_eth_stage3,cost_aware_threshold,4.6384324e-05
sgd_eth_stage3_RSEP-full_tuned,30216,1753.0854656295908,-4288.766012688524,6041.851478318115,8771.37603580049,-0.14193692125657015,-2.44641011335308,-4289.447629688059,sgd_eth_stage3,RSEP-full,2.3792219e-05
