model,regime,accuracy,macro_f1,weighted_f1,mcc,balanced_accuracy,n_rows
sgd_eth_stage3,BALANCED_TRANSITION,0.4349999254792583,0.4344443030035263,0.43509183478568486,0.15209946908647862,0.4347034480254512,3891534
sgd_eth_stage3,CALM_ILLIQUID,0.4497034514222661,0.4312942208055306,0.4385480489210673,0.16294973819488778,0.4362956572793386,188502
sgd_eth_stage3,CALM_LIQUID,0.45093147307851716,0.4457123413515762,0.44987924881973845,0.16924583208373079,0.445623444521874,743124
sgd_eth_stage3,CHOPPY_MEAN_REVERTING,0.4419435048700748,0.329758070312665,0.38955440825112636,0.0847130777927007,0.37406001290070057,4419850
sgd_eth_stage3,LIQUIDITY_DROUGHT,0.4345226492773141,0.43342488202770296,0.43364585876612627,0.1518183147978227,0.4342643272872986,677196
sgd_eth_stage3,MILD_LIQUIDITY_STRESS,0.436845126046688,0.435682420637076,0.4362120920041059,0.15466940806555174,0.4360594301923069,3512508
sgd_eth_stage3,MOMENTUM_TOXIC,0.4335143104324187,0.422349539359039,0.4273160186877622,0.14049664944203996,0.4247556166388214,3836397
sgd_eth_stage3,SHOCK_RECOVERY,0.42779449518502155,0.4043535580866702,0.4089528207160056,0.1378608564418195,0.41978591872538,2190664
sgd_eth_stage3,UNKNOWN,0.43401614551891426,0.43158816216679025,0.43239067274443693,0.14927626608499645,0.4322300656256573,3202003
sgd_eth_stage3,VOLATILE_ILLIQUID,0.42780621731321555,0.4093983759374678,0.4140430814067899,0.1358319107343172,0.41954823592235463,126389
sgd_eth_stage3,VOLATILE_LIQUID,0.4297825168918919,0.422713948270843,0.4151238297400303,0.16986184242504912,0.4473342856785754,94720
