model,model_type,regime,accuracy,macro_f1,weighted_f1,mcc,balanced_accuracy,n_rows
lob_transformer_stage3_pilot,lob_transformer,BALANCED_TRANSITION,0.6346666666666667,0.25883632408917895,0.49282436106579663,0.0,0.3333333333333333,2250
lob_transformer_stage3_pilot,lob_transformer,CALM_ILLIQUID,0.7150259067357513,0.27794561933534745,0.5962149554654603,0.0,0.3333333333333333,579
lob_transformer_stage3_pilot,lob_transformer,CALM_LIQUID,0.5157232704402516,0.2268326417704011,0.35094861556929985,0.0,0.3333333333333333,159
lob_transformer_stage3_pilot,lob_transformer,CHOPPY_MEAN_REVERTING,0.3865086599817685,0.18584264738110892,0.21548937782021016,0.0,0.3333333333333333,1097
lob_transformer_stage3_pilot,lob_transformer,LIQUIDITY_DROUGHT,0.6477611940298508,0.26207729468599034,0.5092905040017304,0.0,0.3333333333333333,335
lob_transformer_stage3_pilot,lob_transformer,MILD_LIQUIDITY_STRESS,0.6650618982118295,0.2662811510395154,0.5318297542082205,-0.013543906966130009,0.33298898071625344,1454
lob_transformer_stage3_pilot,lob_transformer,MOMENTUM_TOXIC,0.5350877192982456,0.23238095238095238,0.3734402673350042,-0.015666606502297935,0.3329694323144105,1710
lob_transformer_stage3_pilot,lob_transformer,SHOCK_RECOVERY,0.5480349344978166,0.23601316408086506,0.388030376753038,0.0,0.3333333333333333,916
lob_transformer_stage3_pilot,lob_transformer,UNKNOWN,0.5684818481848185,0.2416272137471506,0.41268014229092553,-0.01719036707978609,0.3328502415458937,1212
lob_transformer_stage3_pilot,lob_transformer,VOLATILE_ILLIQUID,0.5208333333333334,0.228310502283105,0.3567351598173516,0.0,0.3333333333333333,288
