model,regime,accuracy,macro_f1,weighted_f1,mcc,balanced_accuracy,n_rows
sgd,BALANCED_TRANSITION,0.7617539506949057,0.405083157510506,0.700104439680342,0.20128923898675144,0.3963984044883253,2654533
sgd,CALM_ILLIQUID,0.6290978197751148,0.46395038501832025,0.5804593575652875,0.28740776474369306,0.46113415870467206,18943
sgd,CALM_LIQUID,0.7402156728410505,0.3541654047479177,0.6555307395498657,0.14829828915833204,0.36772191668864695,2690093
sgd,CHOPPY_MEAN_REVERTING,0.41678847826671805,0.3381765596459277,0.350262821051861,0.12090234362284889,0.40144737432716493,446044
sgd,LIQUIDITY_DROUGHT,0.6205272243190263,0.4475427960075928,0.5754060290796306,0.2212855088109804,0.4401812901837548,205074
sgd,MILD_LIQUIDITY_STRESS,0.748310698438509,0.400822374998499,0.6823358655265143,0.19901773480559562,0.39498571834718627,2510357
sgd,MOMENTUM_TOXIC,0.6273295655604493,0.47339791052263763,0.5997011073122928,0.24741118124759692,0.4634335079169918,2164674
sgd,SHOCK_RECOVERY,0.6532637789587661,0.48597559644515914,0.6283892461539099,0.26783561333432937,0.473875823967607,1287434
sgd,UNKNOWN,0.6739222339626795,0.4444339361879693,0.6263636711035355,0.2261860477278353,0.4331885505132029,1889951
sgd,VOLATILE_ILLIQUID,0.5054217445542655,0.5085588152778565,0.5076538567605589,0.25667301564251555,0.5051555023399276,10421
sgd,VOLATILE_LIQUID,0.6556147144240078,0.4604933751599631,0.6251092626593989,0.2192012343701631,0.44796754922885523,28924
