trade_date,exchange,symbol,n_rows,first_timestamp,last_timestamp,duration_seconds,mean_snapshot_interval_ms,p50_snapshot_interval_ms,p95_snapshot_interval_ms,p99_snapshot_interval_ms,n_duplicate_timestamps,n_duplicate_sequence_numbers,n_non_monotonic_sequence,n_missing_values_by_column,n_crossed_book_rows,n_zero_or_negative_price_rows,n_zero_or_negative_size_rows,spread_mean,spread_p50,spread_p95,depth_top10_mean,depth_top10_p50,depth_top10_p95,file_size_mb
2024-01-01,BINANCE,ETH-USDT,172023,2024-01-01 00:00:02.968000+00:00,2024-01-01 23:59:59.544000+00:00,86396.576,502.24143423515596,400.0,1400.9999360000002,2300.99968,0,0,0,{},0,0,0,0.010133971460163593,0.010009765625,0.010009765625,146.3280029296875,141.75750732421875,220.77093811035152,717.2209
2024-01-02,BINANCE,ETH-USDT,177283,2024-01-02 00:00:03.845999872+00:00,2024-01-02 23:59:59.344000+00:00,86395.498,487.3337281851965,400.0,1399.999744,2102.0001279999997,0,0,0,{},0,0,0,0.010410317219793797,0.010009765625,0.010009765625,111.88981628417969,104.4425048828125,186.288037109375,717.2209
2024-01-03,BINANCE,ETH-USDT,159721,2024-01-03 00:00:03.746000128+00:00,2024-01-03 23:59:59.921999872+00:00,86396.175999,540.9227147492111,400.0,1599.999744,2700.999936,0,0,0,{},0,0,0,0.013589233160018921,0.010009765625,0.010009765625,139.78111267089844,136.7370147705078,232.4106903076172,717.2209
2024-01-04,BINANCE,ETH-USDT,171657,2024-01-04 00:00:00.023000064+00:00,2024-01-04 23:59:59.640999936+00:00,86399.617999,503.33002050538283,400.0,1400.9999360000002,2300.999936,0,0,0,{},0,0,0,0.010448734275996685,0.010009765625,0.010009765625,150.4191436767578,148.84710693359375,225.34196777343737,717.2209
2024-01-05,BINANCE,ETH-USDT,176304,2024-01-05 00:00:01.542000128+00:00,2024-01-05 23:59:59.403000064+00:00,86397.860999,490.0532662514875,400.0,1399.999744,2200.999936,0,0,0,{},0,0,0,0.010869861580431461,0.010009765625,0.010009765625,135.55148315429688,120.32304763793945,232.46043548583987,717.2209
2024-01-06,BINANCE,ETH-USDT,183741,2024-01-06 00:00:01.204000+00:00,2024-01-06 23:59:59.140000+00:00,86397.936,470.21843909872644,400.0,1300.0002559999998,2099.9997439999997,0,0,0,{},0,0,0,0.010174746625125408,0.010009765625,0.010009765625,154.08079528808594,148.30459594726562,224.6428985595703,717.2209
2024-01-07,BINANCE,ETH-USDT,166474,2024-01-07 00:00:00.140000+00:00,2024-01-07 23:59:59.653000192+00:00,86399.513,519.0001561826363,400.0,1500.0,2301.000192,0,0,0,{},0,0,0,0.01020742580294609,0.010009765625,0.010009765625,146.19363403320312,141.8306427001953,219.93448715209962,717.2209
2024-01-08,BINANCE,ETH-USDT,163981,2024-01-08 00:00:01.654000128+00:00,2024-01-08 23:59:59.681999872+00:00,86398.027999,526.8814977420661,400.0,1500.999936,2500.0,0,0,0,{},0,0,0,0.010744689963757992,0.010009765625,0.010009765625,112.73175811767578,103.85879516601562,184.2736053466797,717.2209
2024-01-09,BINANCE,ETH-USDT,166252,2024-01-09 00:00:00.082000128+00:00,2024-01-09 23:59:59.856000+00:00,86399.773999,519.6947627374994,400.0,1500.0,2400.9999359999997,0,0,0,{},0,0,0,0.011580727063119411,0.010009765625,0.010009765625,106.70470428466797,100.60295486450195,181.5567886352539,717.2209
2024-01-10,BINANCE,ETH-USDT,169011,2024-01-10 00:00:00.156000+00:00,2024-01-10 23:59:58.724999936+00:00,86398.568999,511.20388734356544,400.0,1401.000192,2302.00010496,0,0,0,{},0,0,0,0.012243138626217842,0.010009765625,0.010009765625,87.63784790039062,74.639404296875,161.43519592285156,717.2209
2024-01-11,BINANCE,ETH-USDT,163333,2024-01-11 00:00:02.727000064+00:00,2024-01-11 23:59:57.394000128+00:00,86394.667,528.9512587861778,400.0,1500.0,2500.9999359999997,0,0,0,{},0,0,0,0.010742595419287682,0.010009765625,0.010009765625,75.23379516601562,67.0947036743164,128.89537658691404,717.2209
2024-01-12,BINANCE,ETH-USDT,143367,2024-01-12 00:00:03.397000192+00:00,2024-01-12 23:59:59.632999936+00:00,86396.235999,602.6270942883529,400.999936,1700.9999360000002,2900.9999359999997,0,0,0,{},0,0,0,0.01069701835513115,0.010009765625,0.010009765625,83.1328125,76.19869995117188,143.02508850097655,717.2209
