axis,level,n_trades,gross_pnl,net_pnl,total_cost,turnover,net_pnl_per_trade,cost_survival,max_drawdown
fee_bps,0.0,5435,271.7315744987493,271.7315744987493,0.0,62.610077213898066,0.04999660984337614,1.0,-9.556673422698964
fee_bps,1.0,5435,271.7315744987493,-814.1668892095277,1085.8984637082772,62.610077213898066,-0.14980071558592964,-2.9962174646482795,-813.6198792812622
fee_bps,2.0,5435,271.7315744987493,-1900.0653529178048,2171.7969274165544,62.610077213898066,-0.3495980410152355,-6.992434929296559,-1899.3183776939995
fee_bps,5.0,5435,271.7315744987493,-5157.760744042635,5429.4923185413845,62.610077213898066,-0.9489900173031528,-18.981087323241397,-5156.413872932189
fee_bps,10.0,5435,271.7315744987493,-10587.253062584019,10858.984637082769,62.610077213898066,-1.9479766444496815,-38.96217464648279,-10584.906364995943
latency_events,0.0,5435,322.46061505470675,-763.4963591993851,1085.956974254092,62.61292710403001,-0.1404777109842475,-2.3677197262365044,-762.9493492711174
latency_events,1.0,5435,271.7315744987493,-814.1668892095277,1085.8984637082772,62.610077213898066,-0.14980071558592964,-2.9962174646482795,-813.6198792812622
latency_events,5.0,5437,180.4779740810731,-906.0373450858514,1086.5153191669244,62.641253545635806,-0.16664288120026693,-5.020210082139149,-905.490335157589
latency_events,10.0,5437,132.38601883530322,-954.5926845993553,1086.9787034346584,62.667097869147305,-0.17557342001091691,-7.210675968637824,-954.1939716901844
spread_multiplier,1.0,5435,271.7315744987493,-814.1668892095277,1085.8984637082772,62.610077213898066,-0.14980071558592964,-2.9962174646482795,-813.6198792812622
spread_multiplier,1.5,5435,268.97642591530496,-816.9220370187917,1085.8984629340966,62.610077213898066,-0.15030764250575743,-3.0371510597587585,-816.3749712113097
spread_multiplier,2.0,5435,266.22127733186113,-819.6771848280553,1085.8984621599163,62.610077213898066,-0.15081456942558513,-3.0789319059808937,-819.1300631413541
depth_multiplier,1.0,5435,271.7315744987493,-814.1668892095277,1085.8984637082772,62.610077213898066,-0.14980071558592964,-2.9962174646482795,-813.6198792812622
depth_multiplier,0.75,5430,269.24910686466376,-815.4954465116459,1084.7445533763096,62.54818048690511,-0.15018332348280772,-3.028776793386168,-814.948436583382
depth_multiplier,0.5,5423,264.882439164047,-818.1022379434114,1082.9846771074583,62.455409420410504,-0.1508578716473191,-3.088548416139978,-817.5552280151483
