model,mean_diff,ci_low,ci_high,n_days,n_bootstrap
sgd,23.589682784067765,11.335093741216042,39.21761024140085,29,1000
xgboost_gpu,-0.0489206822916421,-2.878574437491309,2.472508278810918,29,1000
sgd_stage3,68.52514254066054,59.67645950648641,77.22922570561714,65,1000
