model,regime,accuracy,macro_f1,weighted_f1,mcc,balanced_accuracy,n_rows
xgboost_gpu,BALANCED_TRANSITION,0.7637158777080564,0.40035121486155273,0.6985798021154844,0.19925062886627115,0.39314452896751556,2654533
xgboost_gpu,CALM_ILLIQUID,0.6333738056274085,0.4681452173377572,0.583858881841519,0.2954907928038231,0.4646489605903881,18943
xgboost_gpu,CALM_LIQUID,0.7412308793785196,0.3539666238349744,0.6555146687063643,0.1503423900898248,0.3677873569541781,2690093
xgboost_gpu,CHOPPY_MEAN_REVERTING,0.43424191335383955,0.41879534311668937,0.4230220348990069,0.14607829178219478,0.42677917677541405,446044
xgboost_gpu,LIQUIDITY_DROUGHT,0.6242332036240577,0.42808108798163524,0.5655453985811901,0.21089571802086954,0.425656763961845,205074
xgboost_gpu,MILD_LIQUIDITY_STRESS,0.7501598378238633,0.39483175545307736,0.6802978554911754,0.1968410499352696,0.3911529388224837,2510357
xgboost_gpu,MOMENTUM_TOXIC,0.637769474756938,0.45591930755077487,0.5936385108255906,0.24017853357602403,0.4467008430467863,2164674
xgboost_gpu,SHOCK_RECOVERY,0.6606342538724315,0.4820356749108928,0.6287204089160268,0.26843646508829133,0.4682282479526518,1287434
xgboost_gpu,UNKNOWN,0.6807975444866031,0.4291246841775869,0.6208355308960861,0.22108380602210673,0.42117470408199803,1889951
xgboost_gpu,VOLATILE_ILLIQUID,0.5016793014106132,0.5030458803827633,0.5024741507819896,0.25033242724099775,0.5012724612987536,10421
xgboost_gpu,VOLATILE_LIQUID,0.6666436177568801,0.47053192621311896,0.6341685197189321,0.23919387420238425,0.45590081978907854,28924
