axis,level,n_trades,gross_pnl,net_pnl,total_cost,turnover,net_pnl_per_trade,cost_survival,max_drawdown
fee_bps,0.0,32766,2227.3565233665513,2227.3565233665513,0.0,365.40548029537234,0.06797767574212756,1.0,-10.793037693729275
fee_bps,1.0,32766,2227.3565233665513,-4321.4661970867965,6548.822720453348,365.40548029537234,-0.13188873213351635,-1.940177134532145,-4322.128764260468
fee_bps,2.0,32766,2227.3565233665513,-10870.288917540143,13097.645440906696,365.40548029537234,-0.33175514000916023,-4.88035426906429,-10870.034939806934
fee_bps,5.0,32766,2227.3565233665513,-30516.757078900184,32744.113602266738,365.40548029537234,-0.9313543636360918,-13.700885672660725,-30515.903144964916
fee_bps,10.0,32766,2227.3565233665513,-63260.870681166925,65488.227204533476,365.40548029537234,-1.9306864030143114,-28.40177134532145,-63259.01682022834
latency_events,0.0,32740,3060.748568470777,-3480.932510150789,6541.681078621565,365.05112381339296,-0.10632047984577853,-1.1372814304344985,-3481.7089200705377
latency_events,1.0,32766,2227.3565233665513,-4321.4661970867965,6548.822720453348,365.40548029537234,-0.13188873213351635,-1.940177134532145,-4322.128764260468
latency_events,5.0,32773,1126.7900247404236,-5424.479319008569,6551.269343748993,365.5346985001327,-0.16551671555880051,-4.814099521566314,-5424.724096183987
latency_events,10.0,32782,616.8983053691995,-5937.858566689434,6554.756872058633,365.71163684902,-0.18113167490358836,-9.625344266646609,-5938.2808515826855
spread_multiplier,1.0,32766,2227.3565233665513,-4321.4661970867965,6548.822720453348,365.40548029537234,-0.13188873213351635,-1.940177134532145,-4322.128764260468
spread_multiplier,1.5,32766,2192.395560444499,-4356.427199590034,6548.8227600345335,365.40548029537234,-0.1329557223826538,-1.9870625895204728,-4357.081466201028
spread_multiplier,2.0,32766,2157.4345975224405,-4391.388202093278,6548.822799615718,365.40548029537234,-0.1340227126317914,-2.0354675905987,-4392.034168141625
depth_multiplier,1.0,32766,2227.3565233665513,-4321.4661970867965,6548.822720453348,365.40548029537234,-0.13188873213351635,-1.940177134532145,-4322.128764260468
depth_multiplier,0.75,32756,2202.745689613862,-4339.922309367883,6542.667998981746,365.0886441617257,-0.1324924383126109,-1.9702330277303437,-4340.581724298181
depth_multiplier,0.5,32701,2160.6451820223083,-4365.443047335957,6526.088229358266,364.23830507421496,-0.13349570494284446,-2.020434953253183,-4366.0992714136955
