direction,model,source_symbol,target_symbol,regime,accuracy,macro_f1,weighted_f1,mcc,balanced_accuracy,n_rows
btc_to_eth,asset_btc_to_eth_sgd,BTC-USDT,ETH-USDT,BALANCED_TRANSITION,0.4347501525105524,0.4285326530972966,0.4307000043685411,0.1486981610649435,0.4308078389660932,3891534
btc_to_eth,asset_btc_to_eth_sgd,BTC-USDT,ETH-USDT,CALM_ILLIQUID,0.4431889316824224,0.4084997973728703,0.418517478267243,0.1508720678040011,0.4233911211908435,188502
btc_to_eth,asset_btc_to_eth_sgd,BTC-USDT,ETH-USDT,CALM_LIQUID,0.449706912978184,0.4376836521469232,0.4440506092226892,0.1624275275157049,0.4388731581289531,743124
btc_to_eth,asset_btc_to_eth_sgd,BTC-USDT,ETH-USDT,CHOPPY_MEAN_REVERTING,0.4414434879011731,0.3343216378683337,0.3920021366087428,0.085037654205926,0.3748822199719797,4419850
btc_to_eth,asset_btc_to_eth_sgd,BTC-USDT,ETH-USDT,LIQUIDITY_DROUGHT,0.428741457421485,0.4215448610706516,0.4229905266261852,0.141818800935584,0.425941469850257,677196
btc_to_eth,asset_btc_to_eth_sgd,BTC-USDT,ETH-USDT,MILD_LIQUIDITY_STRESS,0.4308838584851622,0.4189925849110738,0.4203215088427738,0.1470489835493762,0.4280604960982674,3512508
btc_to_eth,asset_btc_to_eth_sgd,BTC-USDT,ETH-USDT,MOMENTUM_TOXIC,0.4299502892948774,0.4195734298623881,0.4243961660671614,0.1346100840076819,0.4212196928959396,3836397
btc_to_eth,asset_btc_to_eth_sgd,BTC-USDT,ETH-USDT,SHOCK_RECOVERY,0.4303535366445972,0.4154140506430505,0.4188614886788049,0.1412416540179618,0.4235996093195815,2190664
btc_to_eth,asset_btc_to_eth_sgd,BTC-USDT,ETH-USDT,UNKNOWN,0.4316613694615526,0.430839406177385,0.4308466687764525,0.1471647391318225,0.431571851730445,3202003
btc_to_eth,asset_btc_to_eth_sgd,BTC-USDT,ETH-USDT,VOLATILE_ILLIQUID,0.4278932502037361,0.4157506366249019,0.4193888341949459,0.1349392164412916,0.4204627400501673,126389
btc_to_eth,asset_btc_to_eth_sgd,BTC-USDT,ETH-USDT,VOLATILE_LIQUID,0.432960304054054,0.4317928879772,0.4284754881943953,0.1628780481434825,0.4440097136672363,94720
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,BALANCED_TRANSITION,0.6069395523610847,0.4504646724748022,0.5761980708239541,0.20658221711483052,0.4428987469249193,7274792
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,CALM_ILLIQUID,0.6447681437929975,0.45982627201273124,0.6096119005606133,0.24164964453684817,0.45144673704319577,279958
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,CALM_LIQUID,0.6325721300622803,0.46073893903754987,0.6048382116119169,0.21714965810636178,0.4500584159039584,777935
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,CHOPPY_MEAN_REVERTING,0.4043691307588929,0.35790427378733636,0.35873255120240416,0.11553088794216511,0.40316061314313184,4558298
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,LIQUIDITY_DROUGHT,0.5461331274292138,0.4654550153721782,0.5360997367734274,0.21500875790007234,0.4644636872046557,883259
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,MILD_LIQUIDITY_STRESS,0.6123403954611021,0.46166035826364915,0.581723597876807,0.2343862124796343,0.45441695319559106,5391529
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,MOMENTUM_TOXIC,0.5108505824928492,0.47838600491064925,0.5125930334694113,0.22788876038257608,0.4794422944370624,6086770
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,SHOCK_RECOVERY,0.5066585113839666,0.47858139339716405,0.5175363802179698,0.2341205287418545,0.48944099258380813,3225721
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,UNKNOWN,0.5208102762899113,0.4736790771957417,0.5198047807599238,0.2211523457064215,0.473395732577669,4916249
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,VOLATILE_ILLIQUID,0.4885015639446816,0.47580524453037687,0.49916183858378693,0.23662004601130762,0.4877242813516234,152499
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,VOLATILE_LIQUID,0.6300738007380073,0.4745269313172839,0.6199250884466116,0.19925435136476394,0.4679910881225255,3252
