model,regime,accuracy,macro_f1,weighted_f1,mcc,balanced_accuracy,n_rows
sgd_btc_stage3_purged,BALANCED_TRANSITION,0.6258262779196986,0.3945817488935998,0.5529828311091759,0.18350835075474695,0.40295923206718726,7274792
sgd_btc_stage3_purged,CALM_ILLIQUID,0.6603311925360232,0.40656560565564853,0.5873271774631091,0.22052530192981867,0.41076561666594863,279958
sgd_btc_stage3_purged,CALM_LIQUID,0.6526882065982377,0.4196300977956013,0.5922829250927814,0.2010922170867476,0.41612837114586204,777935
sgd_btc_stage3_purged,CHOPPY_MEAN_REVERTING,0.42582779800706316,0.41929144974105775,0.4195346224112183,0.14094885479144456,0.4252719557225333,4558298
sgd_btc_stage3_purged,LIQUIDITY_DROUGHT,0.5722624960515545,0.4112712791280675,0.5142418916780179,0.19165211092117132,0.42079416638524164,883259
sgd_btc_stage3_purged,MILD_LIQUIDITY_STRESS,0.62531315328175,0.40591917392315685,0.5551673116376602,0.20933416188479934,0.4136825320308952,5391529
sgd_btc_stage3_purged,MOMENTUM_TOXIC,0.5212789377617357,0.4703640719552468,0.5128868483544214,0.2241809711637589,0.4697549668753529,6086770
sgd_btc_stage3_purged,SHOCK_RECOVERY,0.544934915325907,0.48052082297417004,0.5397287558310944,0.2427025367146757,0.47986520486480444,3225721
sgd_btc_stage3_purged,UNKNOWN,0.547350022344271,0.4522552025674294,0.5178149330605694,0.21997239232195523,0.4527824880307765,4916249
sgd_btc_stage3_purged,VOLATILE_ILLIQUID,0.5311182368408973,0.4882298460006193,0.5293352358528036,0.25528319526415716,0.48894478560685917,152499
sgd_btc_stage3_purged,VOLATILE_LIQUID,0.6783517835178352,0.39962948182972474,0.6146499175211232,0.17817732929984076,0.40059731689433264,3252
