policy,n_trades,gross_pnl,net_pnl,total_cost,turnover,net_pnl_per_trade,cost_survival,max_drawdown,model,base_policy,threshold
sgd_eth_stage3_purged_naive_threshold_tuned,164264,3087.9581728632797,-29750.122413261626,32838.08058612491,49172.52548921674,-0.181111639880081,-9.634237495411446,-29751.312930903798,sgd_eth_stage3_purged,naive_threshold,0.6
sgd_eth_stage3_purged_cost_aware_threshold_tuned,45473,1863.3000920944692,-7229.015263440448,9092.315355534916,13492.823179104453,-0.15897379243596085,-3.8796838437948926,-7228.713412236229,sgd_eth_stage3_purged,cost_aware_threshold,4.6214689e-05
sgd_eth_stage3_purged_RSEP-full_tuned,42889,2545.283633180199,-6030.338030059139,8575.621663239337,12494.836523981321,-0.14060337219471516,-2.369220448144927,-6030.939351605876,sgd_eth_stage3_purged,RSEP-full,2.1242022e-05
