model,axis,level,n_trades,gross_pnl,net_pnl,total_cost,turnover,net_pnl_per_trade,cost_survival,max_drawdown
sgd_stage3,fee_bps,0.0,33713,2300.8222825707703,2300.8222825707703,0.0,376.04269181407574,0.06824733137278706,1.0,-11.01421713740342
sgd_stage3,fee_bps,1.0,33713,2300.8222825707703,-4437.492424989721,6738.314707560492,376.04269181407574,-0.13162555764808,-1.9286550111256713,-4438.154992163394
sgd_stage3,fee_bps,2.0,33713,2300.8222825707703,-11175.807132550211,13476.629415120984,376.04269181407574,-0.331498446668947,-4.857310022251342,-11175.553154817013
sgd_stage3,fee_bps,5.0,33713,2300.8222825707703,-31390.751255231688,33691.573537802455,376.04269181407574,-0.9311171137315483,-13.643275055628356,-31389.897321296445
sgd_stage3,fee_bps,10.0,33713,2300.8222825707703,-65082.324793034146,67383.14707560491,376.04269181407574,-1.9304815588358837,-28.286550111256712,-65080.47093209551
sgd_stage3,latency_events,0.0,33686,3160.8145494241217,-3569.7315751986894,6730.5461246228115,375.65530697534103,-0.10597077644121265,-1.1293707743306451,-3570.507985118447
sgd_stage3,latency_events,1.0,33713,2300.8222825707703,-4437.492424989721,6738.314707560492,376.04269181407574,-0.13162555764808,-1.9286550111256713,-4438.154992163394
sgd_stage3,latency_events,5.0,33721,1173.5099112444113,-5567.373252928525,6740.883164172937,376.17790443429294,-0.16510107211911051,-4.744206418354644,-5567.618030103926
sgd_stage3,latency_events,10.0,33729,647.1501229370693,-6096.919357374624,6744.069480311694,376.33913372360934,-0.18076193653457334,-9.421182413910328,-6097.341642267866
sgd_stage3,spread_multiplier,1.0,33713,2300.8222825707703,-4437.492424989721,6738.314707560492,376.04269181407574,-0.13162555764808,-1.9286550111256713,-4438.154992163394
sgd_stage3,spread_multiplier,1.5,33713,2264.7303167913733,-4473.5845484611045,6738.314865252477,376.04269181407574,-0.1326961275609143,-1.9753277091283847,-4474.2388150721035
sgd_stage3,spread_multiplier,2.0,33713,2228.6383510119767,-4509.676671932487,6738.315022944463,376.04269181407574,-0.1337666974737486,-2.0235121009583,-4510.322637980849
sgd_stage3,depth_multiplier,1.0,33713,2300.8222825707703,-4437.492424989721,6738.314707560492,376.04269181407574,-0.13162555764808,-1.9286550111256713,-4438.154992163394
sgd_stage3,depth_multiplier,0.75,33702,2275.3354976340784,-4456.718631357277,6732.054128991356,375.7207072338388,-0.13223899564884212,-1.9587083469630866,-4457.378046287575
sgd_stage3,depth_multiplier,0.5,33651,2231.224192117492,-4484.193910236216,6715.418102353708,374.8666495632558,-0.13325588868789087,-2.0097460067339066,-4484.850134313955
