model,model_type,regime,accuracy,macro_f1,weighted_f1,mcc,balanced_accuracy,n_rows
tcn_gpu_stage3,tcn,BALANCED_TRANSITION,0.5972069213556086,0.44318450644981106,0.5720717525306789,0.20182158497304942,0.43787148832755296,727083
tcn_gpu_stage3,tcn,CALM_ILLIQUID,0.6330650904429569,0.4649339721882841,0.6124343702293673,0.2512434329852428,0.45923821663198394,28084
tcn_gpu_stage3,tcn,CALM_LIQUID,0.6305216240864193,0.447676648047878,0.6002024068741072,0.20992448088414703,0.4401579435871115,77853
tcn_gpu_stage3,tcn,CHOPPY_MEAN_REVERTING,0.3957037986125433,0.3652763403351081,0.36584775687084653,0.09985273439030419,0.3947560150229477,455798
tcn_gpu_stage3,tcn,LIQUIDITY_DROUGHT,0.5317444103960958,0.43720871263188216,0.5188758365587972,0.18247421051292032,0.43552590136780717,88110
tcn_gpu_stage3,tcn,MILD_LIQUIDITY_STRESS,0.5922269963338037,0.4542652048648443,0.5740334396550563,0.22236372306952937,0.44990453780548245,539251
tcn_gpu_stage3,tcn,MOMENTUM_TOXIC,0.49662910637626473,0.46265651587897283,0.49982696680262473,0.20902417057245987,0.46397581908428837,608444
tcn_gpu_stage3,tcn,SHOCK_RECOVERY,0.5065375497995607,0.46371030597800295,0.5150933335651984,0.21598133302405773,0.46829273435783336,322292
tcn_gpu_stage3,tcn,UNKNOWN,0.510596965793035,0.4576730716709176,0.5101413475131724,0.2056069944286587,0.4577205804245847,492122
tcn_gpu_stage3,tcn,VOLATILE_ILLIQUID,0.47675945378151263,0.4599806216549546,0.48852644877908125,0.21751239474802217,0.4701779982908139,15232
tcn_gpu_stage3,tcn,VOLATILE_LIQUID,0.6646153846153846,0.45293753178896745,0.6251617273280194,0.21021200044388277,0.4431808391487895,325
