model,model_type,regime,accuracy,macro_f1,weighted_f1,mcc,balanced_accuracy,n_rows
tcn_gpu_stage3_pilot,tcn,BALANCED_TRANSITION,0.6422630762672665,0.4443219548746818,0.6200638557367326,0.2022201394963251,0.4367808406616118,110257
tcn_gpu_stage3_pilot,tcn,CALM_ILLIQUID,0.647875517367842,0.4559350448459063,0.6234930300697424,0.2416248761106335,0.44887540387699,19087
tcn_gpu_stage3_pilot,tcn,CALM_LIQUID,0.6415680922050349,0.4484349844685395,0.6131876773799111,0.2094058310322046,0.4398098743209063,13188
tcn_gpu_stage3_pilot,tcn,CHOPPY_MEAN_REVERTING,0.3879167918293782,0.3570835574426023,0.3520767338930526,0.1040938097300791,0.3971045268023633,53264
tcn_gpu_stage3_pilot,tcn,LIQUIDITY_DROUGHT,0.5623618845575886,0.4448159704550187,0.5571379080833216,0.1979095349256394,0.4442132323787676,11313
tcn_gpu_stage3_pilot,tcn,MILD_LIQUIDITY_STRESS,0.6376776862631334,0.448238274870296,0.6201154153770648,0.2167383693435947,0.44243254055105,79283
tcn_gpu_stage3_pilot,tcn,MOMENTUM_TOXIC,0.5234789125092295,0.4713934590079351,0.5293951421442598,0.2238084808436339,0.4754337363003433,90741
tcn_gpu_stage3_pilot,tcn,SHOCK_RECOVERY,0.5384926247726813,0.4640188302073795,0.5509094821920696,0.2200685258674892,0.4726805186610623,49490
tcn_gpu_stage3_pilot,tcn,UNKNOWN,0.5368788636685385,0.456595572264818,0.5380438069559883,0.2069110015249602,0.4575939284695149,63573
tcn_gpu_stage3_pilot,tcn,VOLATILE_ILLIQUID,0.4848422777550184,0.4574284382950234,0.4987445795424987,0.2170820852641546,0.4686038477755911,9764
tcn_gpu_stage3_pilot,tcn,VOLATILE_LIQUID,0.6,0.3782172002510985,0.5672787193973634,0.0708702824812295,0.374779541446208,40
deeplob_faithful_lite_stage3_pilot,deeplob_faithful_lite,BALANCED_TRANSITION,0.5850694286984046,0.4293657748995975,0.5795340889434485,0.1498256432337453,0.4363935346867276,110257
deeplob_faithful_lite_stage3_pilot,deeplob_faithful_lite,CALM_ILLIQUID,0.594645570283439,0.4313885673130697,0.580454112478038,0.1696693144632387,0.4361736420988944,19087
deeplob_faithful_lite_stage3_pilot,deeplob_faithful_lite,CALM_LIQUID,0.5833333333333334,0.4543950420876003,0.58223156319965,0.1814320201863711,0.4600411986209036,13188
deeplob_faithful_lite_stage3_pilot,deeplob_faithful_lite,CHOPPY_MEAN_REVERTING,0.3982427155301892,0.3905871459193858,0.3909006937622601,0.097180650788169,0.3975343956327439,53264
deeplob_faithful_lite_stage3_pilot,deeplob_faithful_lite,LIQUIDITY_DROUGHT,0.5071157075930346,0.4241117576575821,0.5102294357070759,0.1442721002153487,0.4354746928375845,11313
deeplob_faithful_lite_stage3_pilot,deeplob_faithful_lite,MILD_LIQUIDITY_STRESS,0.5708411639317382,0.4261773701906794,0.5694251012980244,0.1500282725177807,0.4370106655351023,79283
deeplob_faithful_lite_stage3_pilot,deeplob_faithful_lite,MOMENTUM_TOXIC,0.4696994743280325,0.4256595170272386,0.4702378271574005,0.1432016133328987,0.4389359808759902,90741
deeplob_faithful_lite_stage3_pilot,deeplob_faithful_lite,SHOCK_RECOVERY,0.514487775308143,0.4270325423021517,0.5137337808604415,0.1472895065796867,0.4362662543522879,49490
