direction,model,source_symbol,target_symbol,accuracy,macro_f1,weighted_f1,mcc,balanced_accuracy,n_rows
btc_to_eth,asset_btc_to_eth_sgd,BTC-USDT,ETH-USDT,0.4341238061438663,0.4325298243721174,0.433181387056856,0.1485626538182829,0.4325905967406078,22882887
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,0.5393632097418494,0.4838640204196653,0.5384382706852272,0.2423872855699576,0.4834841163812806,33550262
btc_to_eth,asset_btc_to_eth_sgd_purged,BTC-USDT,ETH-USDT,0.434242584862653,0.4327493327974332,0.4333664686738009,0.1487813833042778,0.432778006401694,22882887
eth_to_btc,asset_eth_to_btc_sgd_purged,ETH-USDT,BTC-USDT,0.5393910783766755,0.4837077363811167,0.5383504131539824,0.2421229677576933,0.4832670396645651,33550262
