model,policy,regime,gross_pnl,net_pnl,n_trades,threshold
xgboost_gpu_stage3,xgboost_gpu_stage3_naive_threshold_tuned,UNKNOWN,8486.091031317836,-16481.096001273483,124993,0.5
xgboost_gpu_stage3,xgboost_gpu_stage3_naive_threshold_tuned,VOLATILE_ILLIQUID,295.6001877132709,-707.6861599580269,5020,0.5
xgboost_gpu_stage3,xgboost_gpu_stage3_naive_threshold_tuned,VOLATILE_LIQUID,2.220429846886092,-5.365968530315614,38,0.5
xgboost_gpu_stage3,xgboost_gpu_stage3_cost_aware_threshold_tuned,BALANCED_TRANSITION,1341.220312169008,-1809.870381361042,15792,3.8545637e-05
xgboost_gpu_stage3,xgboost_gpu_stage3_cost_aware_threshold_tuned,CALM_ILLIQUID,16.82481572619407,-22.57186566186932,197,3.8545637e-05
xgboost_gpu_stage3,xgboost_gpu_stage3_cost_aware_threshold_tuned,CALM_LIQUID,254.8089127672613,-373.3005841345112,3142,3.8545637e-05
xgboost_gpu_stage3,xgboost_gpu_stage3_cost_aware_threshold_tuned,CHOPPY_MEAN_REVERTING,136.4270223107914,-178.07383840876096,1575,3.8545637e-05
xgboost_gpu_stage3,xgboost_gpu_stage3_cost_aware_threshold_tuned,LIQUIDITY_DROUGHT,13.876338961811769,-36.43392320948575,252,3.8545637e-05
xgboost_gpu_stage3,xgboost_gpu_stage3_cost_aware_threshold_tuned,MILD_LIQUIDITY_STRESS,312.9093073301242,-473.8476987051431,3943,3.8545637e-05
xgboost_gpu_stage3,xgboost_gpu_stage3_cost_aware_threshold_tuned,MOMENTUM_TOXIC,282.7637795729079,-498.728576605628,3914,3.8545637e-05
xgboost_gpu_stage3,xgboost_gpu_stage3_cost_aware_threshold_tuned,SHOCK_RECOVERY,186.11087698037863,-289.1110016748891,2381,3.8545637e-05
xgboost_gpu_stage3,xgboost_gpu_stage3_cost_aware_threshold_tuned,UNKNOWN,531.7432850607805,-808.6930129063508,6719,3.8545637e-05
xgboost_gpu_stage3,xgboost_gpu_stage3_cost_aware_threshold_tuned,VOLATILE_ILLIQUID,1.619489031883825,-3.945677084284229,28,3.8545637e-05
xgboost_gpu_stage3,xgboost_gpu_stage3_cost_aware_threshold_tuned,VOLATILE_LIQUID,0.5845822589065541,0.1846407531368502,2,3.8545637e-05
xgboost_gpu_stage3,xgboost_gpu_stage3_RSEP-full_tuned,BALANCED_TRANSITION,1733.6978648189877,-2420.7047307323533,20827,3.2988377e-05
xgboost_gpu_stage3,xgboost_gpu_stage3_RSEP-full_tuned,CALM_ILLIQUID,14.637535948623402,-17.959620397348143,163,3.2988377e-05
xgboost_gpu_stage3,xgboost_gpu_stage3_RSEP-full_tuned,CALM_LIQUID,369.8455638522491,-506.0822551772703,4382,3.2988377e-05
xgboost_gpu_stage3,xgboost_gpu_stage3_RSEP-full_tuned,CHOPPY_MEAN_REVERTING,50.744660348921535,-50.711675187338166,508,3.2988377e-05
xgboost_gpu_stage3,xgboost_gpu_stage3_RSEP-full_tuned,LIQUIDITY_DROUGHT,10.095817157242822,-31.61496494659297,209,3.2988377e-05
xgboost_gpu_stage3,xgboost_gpu_stage3_RSEP-full_tuned,MILD_LIQUIDITY_STRESS,186.2259524142015,-283.82276433566483,2354,3.2988377e-05
xgboost_gpu_stage3,xgboost_gpu_stage3_RSEP-full_tuned,MOMENTUM_TOXIC,71.33387310413144,-143.11686394413215,1073,3.2988377e-05
xgboost_gpu_stage3,xgboost_gpu_stage3_RSEP-full_tuned,SHOCK_RECOVERY,171.13101613305,-268.30064403945266,2202,3.2988377e-05
xgboost_gpu_stage3,xgboost_gpu_stage3_RSEP-full_tuned,UNKNOWN,344.06895913220245,-578.898772753298,4626,3.2988377e-05
xgboost_gpu_stage3,xgboost_gpu_stage3_RSEP-full_tuned,VOLATILE_ILLIQUID,1.2199288116327958,-1.979898928863051,16,3.2988377e-05
tcn_gpu_stage3,tcn_gpu_stage3_naive_threshold_tuned,BALANCED_TRANSITION,-30.822248014335447,-64.00478331379381,166,0.6
tcn_gpu_stage3,tcn_gpu_stage3_naive_threshold_tuned,CALM_ILLIQUID,-27.199211983453004,-29.99474738758242,14,0.6
