model,model_type,regime,accuracy,macro_f1,weighted_f1,mcc,balanced_accuracy,n_rows
deeplob_cnn_lstm_purged_subsample,deeplob,BALANCED_TRANSITION,0.46098020735155515,0.33970037995796204,0.47515998782871366,0.010131757112925346,0.3427647810706902,10610
deeplob_cnn_lstm_purged_subsample,deeplob,CALM_ILLIQUID,0.4754973313925279,0.3501297363724816,0.4935603027152205,0.021449429687458207,0.35456634739150905,2061
deeplob_cnn_lstm_purged_subsample,deeplob,CALM_LIQUID,0.4871456822676335,0.3763692452990857,0.49899395294001336,0.07232370573098058,0.3798494523657327,1517
deeplob_cnn_lstm_purged_subsample,deeplob,CHOPPY_MEAN_REVERTING,0.35566732530986167,0.33039916716292744,0.33780584622236637,0.013517973611304766,0.3419797842163456,5567
deeplob_cnn_lstm_purged_subsample,deeplob,LIQUIDITY_DROUGHT,0.4322533136966127,0.3435424773452942,0.4320405786418356,0.01717347512496747,0.34215054859923844,1358
deeplob_cnn_lstm_purged_subsample,deeplob,MILD_LIQUIDITY_STRESS,0.4533419023136247,0.32674256268643403,0.4680360567578752,-0.0040509053817264756,0.33171897068499173,7780
deeplob_cnn_lstm_purged_subsample,deeplob,MOMENTUM_TOXIC,0.4251470425036067,0.35911134202046097,0.42195594422256255,0.03796695321048387,0.35893759638061384,9011
deeplob_cnn_lstm_purged_subsample,deeplob,SHOCK_RECOVERY,0.44854328233074825,0.358082035717679,0.4537912190472857,0.038247805912754125,0.35925850194433223,4771
deeplob_cnn_lstm_purged_subsample,deeplob,UNKNOWN,0.43519409688803334,0.34722314026809364,0.4318229078430697,0.02018126601641022,0.34740398583244114,6234
deeplob_cnn_lstm_purged_subsample,deeplob,VOLATILE_ILLIQUID,0.4075785582255083,0.34970750780479715,0.39703753084142446,0.02334543070900754,0.35004538852578065,1082
deeplob_cnn_lstm_purged_subsample,deeplob,VOLATILE_LIQUID,0.4444444444444444,0.38888888888888884,0.6111111111111112,0.36860489038724287,0.27777777777777773,9
