direction,model,source_symbol,target_symbol,policy,regime,gross_pnl,net_pnl,n_trades,threshold
btc_to_eth,asset_btc_to_eth_sgd,BTC-USDT,ETH-USDT,RSEP-full,VOLATILE_ILLIQUID,22.33811920093093,-231.02036704202436,1267,9.8641055e-05
btc_to_eth,asset_btc_to_eth_sgd,BTC-USDT,ETH-USDT,RSEP-full,VOLATILE_LIQUID,311.7174236928619,-698.7704713184119,5053,9.8641055e-05
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,naive_threshold,BALANCED_TRANSITION,33.36781684525469,-468.90529335788966,2513,0.6
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,naive_threshold,CALM_ILLIQUID,-35.908403284300675,-86.48095040690652,253,0.6
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,naive_threshold,CALM_LIQUID,-2.627373228023418,-22.222422662182435,98,0.6
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,naive_threshold,CHOPPY_MEAN_REVERTING,528.3089460124816,-2965.498873538372,17486,0.6
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,naive_threshold,LIQUIDITY_DROUGHT,-89.7581912723745,-204.62110342569486,575,0.6
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,naive_threshold,MILD_LIQUIDITY_STRESS,0.34434168841036983,-462.7264007888126,2318,0.6
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,naive_threshold,MOMENTUM_TOXIC,311.5241633545308,-1817.5682806794937,10653,0.6
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,naive_threshold,SHOCK_RECOVERY,397.3965005962226,-964.2863245871584,6813,0.6
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,naive_threshold,UNKNOWN,206.94916280156417,-898.6013070949218,5532,0.6
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,naive_threshold,VOLATILE_ILLIQUID,-126.04176595961647,-324.4442984789173,993,0.6
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,naive_threshold,VOLATILE_LIQUID,-0.1264703620338557,-0.3264601542754132,1,0.6
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,cost_aware_threshold,BALANCED_TRANSITION,121.19340050507668,-231.11863912543555,1763,4.6384324e-05
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,cost_aware_threshold,CALM_ILLIQUID,5.825847140783482,-34.51650259979829,202,4.6384324e-05
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,cost_aware_threshold,CALM_LIQUID,27.459677453149137,-29.104016467868945,283,4.6384324e-05
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,cost_aware_threshold,CHOPPY_MEAN_REVERTING,214.23820045117589,-459.9079649190673,3374,4.6384324e-05
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,cost_aware_threshold,LIQUIDITY_DROUGHT,37.43295893167685,-114.55032430184171,760,4.6384324e-05
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,cost_aware_threshold,MILD_LIQUIDITY_STRESS,80.433099072465,-142.2751115057115,1115,4.6384324e-05
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,cost_aware_threshold,MOMENTUM_TOXIC,678.5078237393033,-1579.0346922452695,11297,4.6384324e-05
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,cost_aware_threshold,SHOCK_RECOVERY,180.7872494912275,-376.1302118164586,2786,4.6384324e-05
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,cost_aware_threshold,UNKNOWN,343.7666028643581,-673.9171325487303,5094,4.6384324e-05
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,cost_aware_threshold,VOLATILE_ILLIQUID,18.963172195811673,-56.027870614273404,375,4.6384324e-05
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,cost_aware_threshold,VOLATILE_LIQUID,-0.28143288198222477,-0.8814071938484322,3,4.6384324e-05
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,RSEP-full,BALANCED_TRANSITION,309.95480615600593,-461.2032910974626,3865,2.3792219e-05
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,RSEP-full,CALM_ILLIQUID,9.958034887135945,-4.640090942618761,73,2.3792219e-05
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,RSEP-full,CALM_LIQUID,26.714408155859665,-46.991832806822835,369,2.3792219e-05
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,RSEP-full,CHOPPY_MEAN_REVERTING,60.72398280443591,-112.4550043034833,866,2.3792219e-05
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,RSEP-full,LIQUIDITY_DROUGHT,4.5722566770750275,-5.177631733781977,49,2.3792219e-05
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,RSEP-full,MILD_LIQUIDITY_STRESS,43.234999818875444,-95.67393081952123,696,2.3792219e-05
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,RSEP-full,MOMENTUM_TOXIC,4.3175294367280665,-6.281612538547675,53,2.3792219e-05
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,RSEP-full,SHOCK_RECOVERY,116.88297289108273,-222.87962516918074,1704,2.3792219e-05
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,RSEP-full,UNKNOWN,95.67213251515302,-186.83695643153717,1415,2.3792219e-05
eth_to_btc,asset_eth_to_btc_sgd,ETH-USDT,BTC-USDT,RSEP-full,VOLATILE_ILLIQUID,5.186450266071505,-2.6125862121685772,39,2.3792219e-05
