policy,n_trades,gross_pnl,net_pnl,total_cost,turnover,net_pnl_per_trade,cost_survival,max_drawdown
naive_threshold,2490903,133294.97371077578,-364583.2531427319,497878.2268535076,27596.17189689322,-0.14636589748486067,-2.7351612967328145,-364583.1155640467
cost_aware_threshold,4686186,263030.2232270228,-673650.5737313146,936680.7969583374,52078.63031744667,-0.14375241907412864,-2.5611147094297344,-673650.4361524559
