policy,n_trades,gross_pnl,net_pnl,total_cost,turnover,net_pnl_per_trade,cost_survival,max_drawdown,model,base_policy,threshold
sgd_naive_threshold_tuned,26076,1851.577368275436,-3361.702523826235,5213.27989210167,402.0515905452745,-0.1289194095653564,-1.815588471443316,-3361.093096611561,sgd,naive_threshold,0.6
sgd_cost_aware_threshold_tuned,21469,1710.355686226314,-2582.292142674031,4292.647828900344,333.02414797358875,-0.1202800383191592,-1.509798320588822,-2582.3213043804367,sgd,cost_aware_threshold,2.7554975e-05
sgd_RSEP-full_tuned,16693,1439.933127801945,-1898.1913419360656,3338.1244697380102,257.8352190685148,-0.1137118158471254,-1.3182496501303858,-1898.0824731669247,sgd,RSEP-full,8.597223e-06
xgboost_gpu_naive_threshold_tuned,108849,9267.512250563228,-12496.408858371671,21763.921108934905,1672.1736401409044,-0.1148049946106227,-1.348410287519416,-12496.513048988563,xgboost_gpu,naive_threshold,0.5
xgboost_gpu_cost_aware_threshold_tuned,9982,950.3599300047674,-1045.748054131462,1996.1079841362296,152.96086558605094,-0.1047633794962394,-1.100370523961607,-1045.6806486154394,xgboost_gpu,cost_aware_threshold,4.8199841e-05
xgboost_gpu_RSEP-full_tuned,10138,980.195293571508,-1047.1667539179198,2027.362047489428,155.59725648840967,-0.1032912560581889,-1.0683246091729228,-1047.0799665094053,xgboost_gpu,RSEP-full,4.0323267e-05
sgd_stage3_naive_threshold_tuned,32891,2016.4421384725615,-4557.584431207933,6574.026569680495,366.8048714341345,-0.13856630784129195,-2.2602108655893627,-4557.384318809083,sgd_stage3,naive_threshold,0.8
sgd_stage3_cost_aware_threshold_tuned,67165,4533.465424289471,-8891.626690132656,13425.092114422125,748.0175094997654,-0.13238482379412872,-1.9613310917720825,-8891.489111382249,sgd_stage3,cost_aware_threshold,0.000127427957
sgd_stage3_RSEP-full_tuned,33713,2300.8222825707703,-4437.492424989721,6738.314707560492,376.04269181407574,-0.13162555764808,-1.9286550111256713,-4438.154992163394,sgd_stage3,RSEP-full,9.8641055e-05
