symbol,split,feature,mean,std,p05,p25,median,p75,p95,sample_rows,sample_seed,sample_method,eth_btc_mean_ratio,eth_btc_median_ratio
BTC-USDT,test,mid_price,91207.8515625,10751.955078125,69286.79609375,88186.505859375,95305.2265625,98208.33984375,103192.3640625,198920,7,deterministic_row_hash_sample,0.03756227459087481,0.035703446918777165
BTC-USDT,test,spread,0.01900925114750862,0.6490007638931274,0.0078125,0.0078125,0.0078125,0.0078125,0.015625,198920,7,deterministic_row_hash_sample,0.5636781743673077,1.28125
BTC-USDT,test,rel_spread,2.0894304952889797e-07,6.953576757950941e-06,7.650613298437747e-08,8.033418907871237e-08,8.552851582521726e-08,1.1429615831559659e-07,1.7704978745314292e-07,198920,7,deterministic_row_hash_sample,15.128927991860198,34.378307974238076
BTC-USDT,test,top_of_book_depth,5.5916900634765625,5.7677788734436035,2.0478556394577025,3.60285747051239,5.0622398853302,6.8196001052856445,9.915806102752684,198920,7,deterministic_row_hash_sample,8.64647830441225,8.452523582516353
BTC-USDT,test,total_depth_10,7.107065200805664,6.587375640869141,2.963550078868866,4.7383527755737305,6.407185077667236,8.471873044967651,12.326103019714354,198920,7,deterministic_row_hash_sample,11.251156086350814,11.177716548108295
BTC-USDT,test,realized_vol_20,1.4926121366443112e-05,2.577713348728139e-05,0.0,0.0,5.425132940217736e-06,2.3118031549529405e-05,5.542560629692161e-05,198920,7,deterministic_row_hash_sample,2.1006522034258532,4.752910552717401
BTC-USDT,test,realized_vol_100,1.9542310838005506e-05,2.2406411517295055e-05,0.0,7.0499338562513e-06,1.5113288554857718e-05,2.6385017918073572e-05,5.389208690758094e-05,198920,7,deterministic_row_hash_sample,1.8838294674760987,2.0491560073782424
BTC-USDT,test,vol_score,0.021572863683104515,1.3373143672943115,-1.8609967231750488,-0.9057663977146149,-0.1310451552271843,0.912114828824997,2.2080241918563828,198920,7,deterministic_row_hash_sample,0.4567338289769599,0.7233153745244856
BTC-USDT,test,abs_future_ret_h,0.00015605280350428075,0.00021509923681151122,0.0,1.0290468708262779e-06,8.889219679986127e-05,0.00021727713829022832,0.0005479458108311518,198920,7,deterministic_row_hash_sample,1.8079114558209273,2.2081138468921466
BTC-USDT,train,mid_price,62204.16796875,7051.4501953125,43791.983984375,59395.9921875,63684.0078125,67175.59375,70432.0,600778,7,deterministic_row_hash_sample,0.049970859726227904,0.049528997725954794
BTC-USDT,train,spread,0.03277149051427841,0.6577534079551697,0.0078125,0.0078125,0.01171875,0.01171875,0.015625,600778,7,deterministic_row_hash_sample,0.33541916987892506,0.8541666666666666
BTC-USDT,train,rel_spread,5.354572181204276e-07,1.1049703061871696e-05,1.1163655884161017e-07,1.1776937469676341e-07,1.805844647151389e-07,1.9741499102110538e-07,2.3834976303760416e-07,600778,7,deterministic_row_hash_sample,6.7671514967892845,17.58446121039367
BTC-USDT,train,top_of_book_depth,8.2979736328125,5.263271808624268,3.079123461246491,5.606722474098206,7.737539768218994,10.283720016479492,14.980944299697876,600778,7,deterministic_row_hash_sample,8.078767450755402,7.62629963263853
BTC-USDT,train,total_depth_10,10.591014862060547,6.183156490325928,4.8691730976104735,7.4868323802948,9.837030410766602,12.722359418869019,18.082155990600594,600778,7,deterministic_row_hash_sample,10.32027059784157,9.973588043828746
