direction,source_symbol,target_symbol,split,n_rows,ece_10bin,brier_score,mean_confidence,accuracy,macro_f1,weighted_f1,mcc,balanced_accuracy,calibration_unit,notes
btc_to_eth,BTC-USDT,ETH-USDT,test,22882887,0.1834764247976824,0.7132992739980923,0.6176002309415485,0.43412380614386636,0.43252982437211746,0.43318138705685605,0.14856265381828296,0.43259059674060785,target_test_rows,Probabilities are produced by source-trained SGD and evaluated on target test only.
eth_to_btc,ETH-USDT,BTC-USDT,test,33550262,0.1051225413238473,0.5974092314243811,0.442115194724269,0.5393632097418494,0.4838640204196653,0.5384382706852272,0.2423872855699576,0.48348411638128064,target_test_rows,Probabilities are produced by source-trained SGD and evaluated on target test only.
