direction,source_symbol,target_symbol,validation_objective,valid_rows_used_for_tuning,target_test_rows,selected_thresholds,normalization_protocol,policy_tuning_protocol,target_protocol,status
btc_to_eth,BTC-USDT,ETH-USDT,source_valid_max_net_pnl_with_min_trades_and_min_trade_days,4792895,22882887,"{""RSEP-full"": 9.8641055e-05, ""cost_aware_threshold"": 0.000127427957, ""naive_threshold"": 0.8}",StandardScaler.partial_fit on source train rows only,thresholds/RSEP selected on source validation only,target test used only for final reporting,PASS
eth_to_btc,ETH-USDT,BTC-USDT,source_valid_max_net_pnl_with_min_trades_and_min_trade_days,4576578,33550262,"{""RSEP-full"": 2.3792219e-05, ""cost_aware_threshold"": 4.6384324e-05, ""naive_threshold"": 0.6}",StandardScaler.partial_fit on source train rows only,thresholds/RSEP selected on source validation only,target test used only for final reporting,PASS
