symbol,split,regime,n_rows,scope,direction,split_total_rows,share
ETH-USDT,test,MOMENTUM_TOXIC,3836397,asset_heldout_target_test,btc_to_eth,22882887,0.16765353952060333
ETH-USDT,test,SHOCK_RECOVERY,2190664,asset_heldout_target_test,btc_to_eth,22882887,0.09573372450775114
ETH-USDT,test,UNKNOWN,3202003,asset_heldout_target_test,btc_to_eth,22882887,0.13993002718581796
ETH-USDT,test,VOLATILE_ILLIQUID,126389,asset_heldout_target_test,btc_to_eth,22882887,0.0055232978251389345
ETH-USDT,test,VOLATILE_LIQUID,94720,asset_heldout_target_test,btc_to_eth,22882887,0.004139337837922287
BTC-USDT,test,BALANCED_TRANSITION,7274792,asset_heldout_target_test,eth_to_btc,33550262,0.21683264351259016
BTC-USDT,test,CALM_ILLIQUID,279958,asset_heldout_target_test,eth_to_btc,33550262,0.00834443558145686
BTC-USDT,test,CALM_LIQUID,777935,asset_heldout_target_test,eth_to_btc,33550262,0.023187151265763588
BTC-USDT,test,CHOPPY_MEAN_REVERTING,4558298,asset_heldout_target_test,eth_to_btc,33550262,0.1358647512201246
BTC-USDT,test,LIQUIDITY_DROUGHT,883259,asset_heldout_target_test,eth_to_btc,33550262,0.026326441206330965
BTC-USDT,test,MILD_LIQUIDITY_STRESS,5391529,asset_heldout_target_test,eth_to_btc,33550262,0.16070005653010996
BTC-USDT,test,MOMENTUM_TOXIC,6086770,asset_heldout_target_test,eth_to_btc,33550262,0.1814224282361789
BTC-USDT,test,SHOCK_RECOVERY,3225721,asset_heldout_target_test,eth_to_btc,33550262,0.09614592577548277
BTC-USDT,test,UNKNOWN,4916249,asset_heldout_target_test,eth_to_btc,33550262,0.14653384823045495
BTC-USDT,test,VOLATILE_ILLIQUID,152499,asset_heldout_target_test,eth_to_btc,33550262,0.004545389243160009
BTC-USDT,test,VOLATILE_LIQUID,3252,asset_heldout_target_test,eth_to_btc,33550262,9.692919834724391e-05
