policy,n_trades,gross_pnl,net_pnl,total_cost,turnover,net_pnl_per_trade,cost_survival,max_drawdown
naive_threshold,40415,1938.0275383198552,-6141.3850517005685,8079.412590020424,677.268119585208,-0.1519580614054328,-3.16888430647624,-6147.940522483007
cost_aware_threshold,27088,1900.3839472074544,-3515.360121688522,5415.744068895977,466.3792659706008,-0.1297755508597357,-1.849815731633714,-3515.1568706889607
