axis,level,n_trades,gross_pnl,net_pnl,total_cost,turnover,net_pnl_per_trade,cost_survival,max_drawdown
fee_bps,0.0,765,76.7832440901339,76.7832440901339,0.0,13.616312288350404,0.10037025371259334,1.0,-3.1030688609498682
fee_bps,1.0,765,76.7832440901339,-76.19277757516952,152.9760216653034,13.616312288350404,-0.09959840205904512,-0.992309956137419,-76.08012623887171
fee_bps,2.0,765,76.7832440901339,-229.16879924047294,305.9520433306068,13.616312288350404,-0.2995670578306836,-2.9846199122748382,-228.78540956089677
fee_bps,5.0,765,76.7832440901339,-688.0968642363832,764.8801083265171,13.616312288350404,-0.899473025145599,-8.961549780687095,-687.1134796307234
fee_bps,10.0,765,76.7832440901339,-1452.9769725629,1529.7602166530341,13.616312288350404,-1.899316304003791,-18.923099561374187,-1450.993596413769
latency_events,0.0,764,99.71691914903545,-52.94612646172572,152.66304561076117,13.58629311127498,-0.06930121264623786,-0.5309643229409566,-53.46639431318717
latency_events,1.0,765,76.7832440901339,-76.19277757516952,152.9760216653034,13.616312288350404,-0.09959840205904512,-0.992309956137419,-76.08012623887171
latency_events,5.0,765,47.21626742971844,-105.7629794402846,152.979246870003,13.61658102172633,-0.13825226070625438,-2.239969086876956,-105.57958806940265
latency_events,10.0,765,29.906596003916476,-123.07355003667301,152.9801460405895,13.616622798855754,-0.16088045756427843,-4.115264405904158,-123.07184355982983
spread_multiplier,1.0,765,76.7832440901339,-76.19277757516952,152.9760216653034,13.616312288350404,-0.09959840205904512,-0.992309956137419,-76.08012623887171
spread_multiplier,1.5,765,76.26150608439184,-76.71452222610641,152.97602831049824,13.616312288350404,-0.10028042121059662,-1.0059402989132322,-76.5483579734614
spread_multiplier,2.0,765,75.73976807865083,-77.23626687704227,152.97603495569308,13.616312288350404,-0.10096244036214676,-1.0197584285818968,-77.05264592481126
depth_multiplier,1.0,765,76.7832440901339,-76.19277757516952,152.9760216653034,13.616312288350404,-0.09959840205904512,-0.992309956137419,-76.08012623887171
depth_multiplier,0.75,765,76.45204088055542,-76.47468094817484,152.92672182873025,13.611482288261417,-0.09996690320022854,-1.0002961342478063,-76.36050672679302
depth_multiplier,0.5,765,75.75305757113735,-77.22576136827715,152.9788189394145,13.61658477048138,-0.10094870767095052,-1.0194408495756997,-77.10317069247331
