policy,regime,gross_pnl,net_pnl,n_trades
naive_threshold,BALANCED_TRANSITION,192.0402888813913,-394.5272545286911,2934
naive_threshold,CALM_ILLIQUID,-59.40643617844534,-113.07443499896927,269
naive_threshold,CALM_LIQUID,35.08693646061646,-27.495252900246715,313
naive_threshold,CHOPPY_MEAN_REVERTING,768.5164811500956,-2688.7534685462915,17293
naive_threshold,LIQUIDITY_DROUGHT,-53.27604054010085,-186.50384808437806,667
naive_threshold,MILD_LIQUIDITY_STRESS,79.58688834482015,-287.86484780833894,1838
naive_threshold,MOMENTUM_TOXIC,612.2256010357756,-710.4606618366623,6617
naive_threshold,SHOCK_RECOVERY,235.28603627174792,-871.4176065886337,5535
naive_threshold,UNKNOWN,255.02582469839163,-598.7177256509026,4271
naive_threshold,VOLATILE_ILLIQUID,-127.7926824622256,-262.1047008366021,672
naive_threshold,VOLATILE_LIQUID,0.7346406577883196,-0.46524992085317013,6
cost_aware_threshold,BALANCED_TRANSITION,237.6188586432621,-324.2107948396574,2810
cost_aware_threshold,CALM_ILLIQUID,-3.1394376392002825,-7.9382036826020945,24
cost_aware_threshold,CALM_LIQUID,103.54582014723783,-89.00554042216787,963
cost_aware_threshold,CHOPPY_MEAN_REVERTING,624.6965027851984,-1398.8462737193108,10121
cost_aware_threshold,LIQUIDITY_DROUGHT,1.2307419631577317,-41.95301246022663,216
cost_aware_threshold,MILD_LIQUIDITY_STRESS,87.62709591952785,-159.1949037528374,1235
cost_aware_threshold,MOMENTUM_TOXIC,303.0201206597803,-496.234379652887,3997
cost_aware_threshold,SHOCK_RECOVERY,302.67060983269545,-619.079243539702,4611
cost_aware_threshold,UNKNOWN,217.6373331363188,-350.3836694974772,2841
cost_aware_threshold,VOLATILE_ILLIQUID,6.437177647055801,-15.75624408821649,111
cost_aware_threshold,VOLATILE_LIQUID,19.039124112420378,-12.757856033437575,159
