fee_bps,up_share,flat_share,down_share
0.0,0.38661575080471805,0.23466343882888774,0.37872081036639416
1.0,0.267005306560473,0.47040668519636153,0.2625880082431655
2.0,0.17247205510675226,0.6577966607261638,0.16973128416708397
5.0,0.053455912996464405,0.8944998871233932,0.05204419988014227
